"法人の種類"	"団体名（法人名称）"	"代表者役職"	"代表者氏名"	"郵便番号"	"都道府県"	"市区町村"	"詳細住所"	"団体ホームページ"	"団体ブログ"	"Facebook"	"Twitter"	"代表者ホームページ（ブログ）"	"寄付"	"ボランティア"	"関連ページ"	"閲覧書類"	"お問い合わせ用メールアドレス"	"電話番号"	"連絡先区分"	"連絡可能時間"	"連絡可能曜日"	"備考"	"助成金・補助金・物品等、他の組織から受けた支援の実績"	"他のNPO・市民活動団体との協働、他の学協会との共同研究・協働の実績"	"企業・団体との協働・共同研究の実績"	"行政との協働（委託事業など）の実績"
"特定非営利活動法人"	"特定非営利活動法人　和歌山自立支援センター"	"理事長"	"栩原 吉教"	"641-0044"	"和歌山県"	"和歌山市"	"今福2丁目7番21号"	"null"	"http://blog.canpan.info/tomoni5578/"	"null"	"null"	"null"	"null"	"null"	"http://nippon.zaidan.info/dantai/467254/dantai_info.htm"	"http://nippon.zaidan.info/dantai/467254/dantai_info.htm"	"tomoni@biscuit.ocn.ne.jp"	"073-426-5578"	"事務所・勤務先"	"9時00分～17時00分"	"月 火 水 木 金 土"	""	"” 触法会議 ”（財）日本社会福祉弘済会助成事業" 生まれた地域で幸せに働く応援事業・ぷれワーキング "平成24年度独立行政法人福祉医療機構助成（福祉活動支援事業）"	"下記に表した【ぷれワーキング】活動など、年に２回、和歌山大学での講演や周知活動を行っております。また、各支援学校と協力し地域の活動などにも参加しております。"	"障がいのある学児などに【ぷれワーキング・継続的な職場体験学習】とし、地域住民の協力のもと、体験学習を実施。"	"就労継続支援A型事業所相談支援事業（計画相談）"	
"特定非営利活動法人"	"わんぱくクラブ"	"理事長"	"守屋 季代子"	"336-0042"	"埼玉県"	"さいたま市南区"	"大谷口５６９８－１"	"http://www.npo-wanpaku.net/"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"npo_wanpaku@triton.ocn.ne.jp"	"048-711-4050"	"事務所・勤務先"	"9時00分～17時00分"	"月 火 水 木 金"	""	"さいたま市　特別支援学校放課後児童対策事業補助金さいたま市　生活サポート事業補助金日本財団　福祉車両助成赤い羽根共同募金　送迎車両、社会体験参加費、駐車場代、図書費、防災用品NHK歳末たすけあい募金　AED、防災用品WAM福祉医療機構　子育て基金おもちゃ図書館事業費（おもちゃ整備、イベント）、　　　　　　　　　 子育て基金送迎事業車両助成ホンダ販売労働組合　ダイニングセットさいたま市ふれあい基金　エアコン、バリアフリー改修工事三菱電機ソシオルーツ基金　エアコン生活クラブ生協エッコロ基金　エアコン　損保ジャパン記念財団　NPO法人設立資金ネットワークさいたま21運動　パソコン、かんたん床暖日本おもちゃ図書館財団　おもちゃ、児童図書丸紅基金　エアコン整備イオン黄色いレシートキャンペーンジャパンミート１％クラブキャンペーンさいたま福祉労協   災害用非常食等他"	"さいたま市社会福祉協議会埼玉県社会福祉協議会さいたま市市民活動サポートセンター浦和大学浦和特別支援学校埼玉県おもちゃ図書館連絡会おもちゃ図書館全国連絡会さいたまＮＰＯセンター（ボランティア講座）さいたま福祉労協（勤労者のためのボランティア講座）"	"浦和大学　インターンシップ受け入れ浦和特別支援学校　ボランティア講習会講師民間企業より出向者受け入れ浦和大学   アートコラボレーション、イノセンスアート授業参加埼玉県社協   教職員免許法の特例による介護等体験事業受け入れファイバーリサイクルへの回収拠点の提供"	"実績なし"	
"一般社団法人"	"日本ソーシャルセラピストアカデミー"	"代表理事"	"大谷 哲範"	"990-0025"	"山形県"	"山形市"	"あこや町3丁目6-22-402"	"http://www.jast.asia/"	"null"	"null"	"null"	"http://tetsnoryotani.wix.com/html"	"http://www.jast.asia/donate"	"null"	"https://jast6.wordpress.com/"	"null"	"info@jast.asia"	"023-600-6764"	"事務所・勤務先"	"10時00分～18時00分"	"月 火 水 木 金"	""	"平成26年度　福島県「ふるさと・きずな維持・再生支援事業」平成28年度・平成29年度・平成30年度　復興庁「心の復興事業」平成28年度・平成29年度　ユニベール財団助成事業平成29年度・平成30年度　パブリック財団「ふくしま未来基金」前身団体緑水の森支援活動としては、平成24年度～27年度　福島県「ふるさとふくしま帰還支援事業」「みやぎ地域復興支援助成事業」「山形県社会貢献基金」「赤い羽根ボラサポ・東日本大震災における支援事業」「日本財団　ROADプロジェクト」　「日蓮宗・あんのん基金」「山形県保険組合協会」"	"＊NPO法人 山形の公益活動を応援する会・アミル (山形)＊復興ボランティア支援センターやまがた（山形）＊NPO法人　絆の架け橋ネットワーク（山形）＊NPO法人　おいたまサロン＊ふくしま連携復興センター及び加盟連携団体＊医療ネットワーク支援センター（東京）＊一般社団法人　チーム王冠（石巻）＊復興支援団体　プラスネオ（東松島）＊東日本大震災に県外避難者西日本連絡会　まるっと西日本（大阪）＊NPO法人　和（京都）＊受け入れネットワーク ほっとおかやま（岡山）＊NPO法人 えひめ311（愛媛）＊沖縄避難者のつどい　じゃんがら会（沖縄）＊全国フードバンクネットワーク＊よりそいホットラインネットワーク＊早稲田大学人文研究所（東京）＊駒澤大学仏教学部（東京）＊山形大学人文学部（山形）"	""	""	
"任意団体"	"日本防災士会・滋賀県支部"	"支部長"	"安井 務"	"520-0047"	"滋賀県"	"大津市"	"浜大津4丁目1-1 明日都浜大津5階　大津市社会福祉協議会内"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"bousaisi25@gmail.com"	"077-525-9316"	"事務所・勤務先"	"9時00分～17時00分"	"月 火 水 木 金"	""	""	""	""	""	
"特定非営利活動法人"	"多文化共生センターきょうと"	"理事長"	"重野 亜久里"	"604-8262"	"京都府"	"京都市中京区"	"油小路通姉小路下る宗林町98英守ビル208"	"http://www.tabunkakyoto.org/"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"null"	"info@tabunka-kyoto.org"	"075-746-2374"	"事務所・勤務先"	"10時00分～18時00分"	"月 火 水 木 金"	""	"2005年・日本財団・国際コミュニケーション基金・京都市国際交流協会・独）福祉医療機構・ソニーマーケティング学生ボランティアファンド・独）環境再生保全機構　地球環境基金2006年・日本財団・大阪コミュニティ財団・京都大学　委託・社）私的録音補償金管理協会2007年・ダイワSRIファンド・NTTアドバンステクノロジ株式会社（JST助成金）・社）私的録音補償金管理協会・京都市国際交流協会・独）情報通信機構　委託2008年・ダイワSRIファンド・年賀寄付金による社会貢献事業助成（郵便事業株式会社）・京都市国際交流協会・京都府地域力再生プロジェクト・地域ICT振興型研究開発　委託2009年・地域ICT振興型研究開発　委託・京都市国際交流協会　委託・京都府　企業等・NPOからの提案型事業　委託・年賀寄付金による社会貢献事業助成（郵便事業株式会社）2010年度・京都市国際交流協会　委託・京都府　企業等・NPOからの提案型事業　委託 2011年度・滋賀県多言語医療支援ネットワーク　委託・京都府　企業等・NPOからの提案型事業　委託・京都府　外国籍不眠のための医療ガイド作成業務　委託・NEC　日本電気株式会社　委託・京都市　医療通訳派遣事業　委託  2012年度・滋賀県多言語医療支援ネットワーク　委託・岐阜県　医療通訳者育成事業　委託・京都府　医療通訳研修事業業務　委託・NEC　日本電気株式会社　委託・京都市　医療通訳派遣事業　委託 2013年度・滋賀県多言語医療支援ネットワーク　委託・NEC　日本電気株式会社　委託・京都市　医療通訳派遣事業　委託"	"・2010年5月医療通訳共通基準の作成「医療通訳の基準を検討する協議会」多言語社会リソースかながわ、多文化共生センターきょうと協働プロジェクト"	"※2011年以降のもののみ掲載2013年・携帯型多言語間医療対話支援システムの構築と医療機関への導入尾崎 俊,吉野 孝,重野 亜久里情報処理学会研究報告(2013/1)・用例対訳と機械翻訳を併用した多言語問診票入力手法の提案と評価福島拓，吉野孝，重野亜久里情報処理学会論文誌，Vol.54, No.1，（2013/1）2012年・正確な情報共有のための多言語用例対訳共有システム福島拓，吉野孝，重野亜久里情報処理学会論文誌 コンシューマ・デバイス＆システ（CDS4）Vol.2 No.3 （2012-12）・スレート型端末を用いた多言語問診票作成システムの開発福島拓, 吉野孝, 重野亜久里第32回医療情報学連合大会 (2012/11)・ICT（情報通信技術）を取り入れた医療通訳、多言語医療支援の取り組み重野亜久里自治体国際化フォーラム276号（2012年10月）・ITを活用した医療活動　多言語医療システム重野亜久里、吉野孝災害医療とIT」ライフメディコム　8月発行第３章　災害医療におけるＩＴの活用（災害と通信・情報システム；タブレッドデバイスを活用した災害支援；ＩＴを活用した医療活動；ソーシャル・ネットワークの活用）・正確な多言語間対話支援を目的とした応答用例対構築モデルの検討, 情報処理学会研究報告福島拓, 吉野孝, 重野亜久里コンシューマ・デバイス＆システム研究会(2012/05).2011年・非母語話者支援を目的とした多言語問診票作成システムの実環境への適用と評価福島拓(和歌山大学大学院システム工学研究科),吉野孝(和歌山大学システム工学部), 重野 亜久里 (多文化共生センターきょうと)マルチメディア，分散，協調とモバイル(DICOMO2011)シンポジウム(2011/7/6〜7/8)・「Design of a Face-to-face Multilingual Communication System for a Handheld Device in the Medical Field」Shun Ozaki, Takuo Matsunobe, Takashi Yoshino (Faculty of Systems Engineering, Wakayama University), Aguri Shigeno (NPO Center for Multicultural Society Kyoto)HCI International 2011　9-14 July 2011, Florida, USA・「Proposal and Evaluation of an Extraction Method for Inaccurate Example Sentences.Using a Web Search Engine for Multilingual Parallel Texts」Taku Fukushima　Takashi Yoshino　（Wakayama University）, Aguri Shigeno（Center for Multicultural Society Kyoto）The 25th IEEE International Conference on Advanced Information Networking and Applications (AINA-2011) March 22 - 25　Singapore・「携帯端末を用いた多言語間医療対話支援システムの開発」尾崎俊 i，松延 拓生 ii, 吉野孝 iii (和歌山大i ii iii)，重野亜久里（多文化共生センターきょうと）第73回情報処理学会（2011.3.4）・「用例対訳を用いた多言語問診票作成システムの開発と評価」福島拓 i, 吉野孝 ii (和歌山大i ii)，重野亜久里（多文化共生センターきょうと）第78回グループウェアとネットワークサービス研究発表会（2011/1/21-22）"	"【委託】2003年～・医療通訳派遣事業（京都市・京都市国際交流協会との協働事業）2015年～・枚方市医療通訳士登録派遣事業"	
"特定非営利活動法人"	"まこと"	"理事長"	"水川 順子"	"710-0016"	"岡山県"	"倉敷市"	"中庄3138-9"	"http://www.geocities.jp/onigiri_0319/index.html"	"null"	"null"	"null"	"null"	"null"	"null"	"http://www.yamada3.co.jp/index.html"	"null"	"tokuhimakoto@beach.ocn.ne.jp"	"086-436-8805"	"事務所・勤務先"	"9時00分～16時00分"	"月 火 水 木 金"	""	"平成24年度 中国労働金庫 NPO立上げ助成金 10万平成25年度 第10回 たましん地域振興支援制度「夢キックオフ」 社会貢献活動部門 50万平成25年度 赤い羽根「ボランティア団体・NPO活動支援事業」　助成　30万平成26年度　日本財団福祉車輌助成金　146万平成26年度　赤い羽根「ボランティア団体・NPO活動支援事業」　助成　30万"	"平成28年　　備中県民局　倉敷　「おかしBOXくらしき」　開始・参加　平成30年度　倉敷市市民企画提案事業　「世界一やさしいレストラン」実施　　　　　　（「注文をまちがえる料理店」和田行男さんにトークライブご協力いただきました。）"	"1.　菓子工房オークウッド 横田秀夫シェフ（内海会会長　 洋菓子協会公認指導員）監修　　　「ココナッツサブレ」　　井原石材有限会社　早雲蜜芋ペーストを使った「いもレーヌ」　　パッケージデザイン：絵本作家　降矢ななさん2.　倉敷市高梁川流域圏内企業連携型研究開発事業　商品開発担当　　井原石材有限会社　地元特産品早雲蜜芋の商品開発「みついもバター」「みついもグラッセ」　　パッケージデザイン：御来屋デザイン　本多英二さん3.　百姓の業伝承グループ　高梁紅茶とのコラボ商品開発「国会議事堂専用商品　高梁金箔紅茶」"	"倉敷移住マスキングテープ制作倉敷市営中洲有料駐車場管理"	
"任意団体"	"ま・るーくこだま　障害のある子の暮らしを考える親と支援者の会"	"代表"	"内田 晶子"	"-"	"埼玉県"	"-"	"-"	"null"	"http://blog.canpan.info/isgkodama/"	"https://www.facebook.com/sgkodama/"	"null"	"null"	"null"	"null"	"null"	"null"	"isg.kodama@gmail.com"	"090-7345-8697"	"自宅・携帯電話"	"10時00分～20時00分"	"月 火 水 木 金 土 日"	""	"本庄市社会福祉協議会登録福祉サロン（ぐるーみんカフェ）"	""	""	""	
"特定非営利活動法人"	"特定非営利活動法人　和歌山自立支援センター"	"理事長"	"栩原 吉教"	"641-0044"	"和歌山県"	"和歌山市"	"今福2丁目7番21号"	"null"	"http://blog.canpan.info/tomoni5578/"	"null"	"null"	"null"	"null"	"null"	"http://nippon.zaidan.info/dantai/467254/dantai_info.htm"	"http://nippon.zaidan.info/dantai/467254/dantai_info.htm"	"tomoni@biscuit.ocn.ne.jp"	"073-426-5578"	"事務所・勤務先"	"9時00分～17時00分"	"月 火 水 木 金 土"	""	"” 触法会議 ”（財）日本社会福祉弘済会助成事業" 生まれた地域で幸せに働く応援事業・ぷれワーキング "平成24年度独立行政法人福祉医療機構助成（福祉活動支援事業）"	"下記に表した【ぷれワーキング】活動など、年に２回、和歌山大学での講演や周知活動を行っております。また、各支援学校と協力し地域の活動などにも参加しております。"	"障がいのある学児などに【ぷれワーキング・継続的な職場体験学習】とし、地域住民の協力のもと、体験学習を実施。"	"就労継続支援A型事業所相談支援事業（計画相談）"	
"特定非営利活動法人"	"アソマナ"	"代表理事"	"太田 樹男"	"336-0022"	"埼玉県"	"さいたま市南区"	"白幡3-10-11"	"http://www.illotes.ne.jp/"	"http://asomana.hatenablog.com/"	"https://www.facebook.com/futoukouasomana/"	"null"	"http://asomana.hatenablog.com/"	"http://asomana.jp/"	"http://asomana.jp/"	"http://asomana.hatenablog.com/"	"null"	"info@seamaid.co.jp"	"048-866-0000"	"事務所・勤務先"	"11時00分～20時00分"	"月 火 水 木 金 土 日"	""	"助成金　日本財団様　赤い羽根募金様　寄付金　石巻白浜有志様　　　　支援者個人様捜索費用　武藤様ご家族"	"埼玉医科大学ダイビング部NPO障害者写真協会様ファーズズリンク様神奈川県立緑支援学校"	"有限会社エスイーエー障害者ダイビングのトレーニングマニュアル株式会社　だいぶウェイズ障がい者向けフルフェイスマスクの開発"	"特になし"	
"一般社団法人"	"日本訪問看護認定看護師協議会"	"代表理事"	"柴田 三奈子"	"150-0001"	"東京都"	"渋谷区"	"神宮前5－8－2日本看護協会ビル5階(公財)日本訪問看護財団内　事務局"	"http://www.jvnf.or.jp/post_13.html"	"null"	"null"	"null"	"http://www.yamanoue-st.com/"	"null"	"null"	"null"	"null"	"kyogikai@jvnf.or.jp"	"03-5778-7008"	"事務所・勤務先"	"9時00分～17時00分"	"月 火 木 金"	"但し、火曜日は16時まで"	"実績なし"	"実績なし"	"実績なし"	"実績なし"	
